Word,Languages,Example
gli,Baseldytsch Ostschwizertütsch Bärndütsch, s foot gli afo regne 
gliche,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,gmeinsam mit fraue us de region züri hät im gliche jahr de ersti schueligskurs für jungschiileiterinne stattgfunde 
glichi,Züritüütsch Bärndütsch,am februar händ dä gross raat vo züri und d zünft än erklärig akzeptiärt wo glichi rächt vo stadt und landschaft versprochä hät 
gliebt,Züritüütsch Bärndütsch,nach eigener uussaag hät er die uufgaab gliebt 
glii,Baseldytsch Ostschwizertütsch Bärndütsch,glii drufabe het er aber entschlosse sich as ritter em popst z verdinge und het sich mit ross und rüstig uf de weg uf apulie gmacht 
gliich,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,in fünf gliich grosse teile werded si a di verschiedene diszipline vergeeh 
gliiche,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,das hät nöd gklappet wil er no im gliiche jaar gstorben isch 
gliichi,Baseldytsch Züritüütsch Bärndütsch,daher gits deet au kei public domain dur rechteverzicht wie i de usa wo uf alli recht verzichtet werde chann und s public domain werch de gliichi schtatus wie es nümme gschützts werch besitzt 
gliir,Bärndütsch,los los los emau los mau wie das schtill isch we du i zäme si los los los emau los mau wie das schtill isch s isch doch genau üsi melodie i dere wäut wo aues luut schrill isch da bin i froh ghör i wenigschtens di i dere wäut wo aues luut schrill isch da los i hueregärn uf di nume schad ghörsch mi jitz nid lue lue lue hüt ligen i blank hüt gheie myner muure gsehsch dür mi düre wi dür glas lue lue lue öb d öppis ngsch näb dene geischter wo da luure dene ängscht vor i weiss nid was lue mi a lue mi a mit dene ouge won i so mängisch vergässe ha lue mi a lue mi a mit dene ouge de gsehsch win i uf di schtah nume schad bisch hüt nid da chumm chumm chumm nimm mi i dyni arme la mi nümm los i gloub vo dir überchumen i nie gnue chumm chumm chumm chumm schick mau öppis über vo dyre chraft vo dyre rueh i dere wäut vou truurige gschtaute da dänk i huereviu a di au die schprüch das gliir die fürz glych blybt aus bim aute grad hüt han i gluscht uf di o hüt gsehn i di nid
glingt,Baseldytsch Bärndütsch,im jahrhundert beteilige sich d lieschtler a dr schwizerische buurebewegig und revoluzze widr emoll gege d vorherrschaft vo basel und bsunders au gege d lybeigeschaft das moll schiteret dr uffstand lieschtel wird vo basler truppe bsetzt und die drei lieschtler afiehrer wärde z basel gkepft die rebellisch stadt muess arg biesse und teil vo de befeschtigungsalage wärde gschlyft aber scho drei joor spöter glingt de lieschtler begünschtigt dur d wirrlete vom villmerger krieg d wiederbewaffnig vom stedtli lybeigeschaft blibt aber 
globt,Baseldytsch Ostschwizertütsch Bärndütsch,as d alemane aber au a anderi mythischi und halbmythischi wese globt hend demonstrieret schö d schwertschaide vo gutestai wo e werwolf oder wolfschrieger abbildet isch und e goldschibe us bliezhause zaigt ufeme ross en chrieger wo e speer schwingt und hinder dem isch e zwergehafte mythische siighelfer abbildet 
gloffe,Baseldytsch Züritüütsch Bärndütsch,wie n er i de zytschrift schwyzerlüt schrybt wider abtruckt i de schwyzerlüt vo isch er doozmaal dur d landesuusstelig gloffe wo nach em uusbruch vom eerschte wältchrieg wie toot daaglägen isch und hät syni truurigen ydrück im b rner tagblatt publiziert doo na uf hoochtüütsch 
gloge,Bärndütsch,das isch d gschicht vom colombo nid vo däm us dr serie vo eim wo irgendeinisch z spanie het gläbt u geng echli dr depp isch gsii u nüt het chönne u immer komischs züg verzeut het u sech nüt drbii het dänkt bis ihm einisch eine gseit het du muesch irgendöppis wärede du muesch öppis us dr mache di nimmt doch niemer ärnscht eso u die meischte lüt hie lachen über di was ch me de so wärde het r gfragt was bisch de du i bin e seemaa het dr anger gseit i fahre mit mim schiff use uf ds meer u chume viu ir wäutschicht ume das tönt sehr intressant das gfieu mr o het dr colombo gseit i wirden e berüehmte seemaa u är het s aune lüt verzeut u aui lüt hei afa lache u är het gseit dir wärdet s gseh u d lüt heit gseit du verzeusch sache u är isch häsig worde u d lüt si vor lache fasch verreckt u är het d schtadt verla u het sech irgendwo im waud versteckt dert isch r wuche blibe wuche i de büsch u d lüt hei gsuecht u hei sech gschämt u niemer het gwüsst won r isch u niemer het meh glacht won r am ne schöne morge wieder da isch gsii hei aui fröi gha u won r gseit het bittesehr i han es nöis land entdeckt es ligt dert irgendwo im meer hei aui fröid gha u si nätt gsii u hei äxtra ganz furchtbar ärnschti gsichter gmacht nume dr seemaa us dr erschte schtrofe amerigo vespucci isch si name isch zuefäuig i dr schtadt gsii u het gseit schön für di aber i gloube dr s nume wenn i s säuber gseh ha u är het sech glii druf uf e wäg gmacht u genau nach wuche um ne tag u eire nacht isch r ändlech wieder zrügg gsii u d lüt si au zum hafe abe u dr colombo isch nävmös worde u haub chrank wüu r het gloge u är het fürchterlichi angscht gha u isch bleich gsii u het nimerem i d ouge gluegt aber dr vespucci het glachet u isch vor d lüt häregschtande u het em colombo zuezwingeret u grüefft är heigi s gfunde u dr colombe het fröid gha dass r ne nid het verpfiffe u het amerigo amgerigo grüeft u d lüt ehi au oafa rüefe u dr colombo isch berüehmt worde u bis a dsändi vo sine tage isch r nie so richtig sicher gsii u het sech nie drfür gha z frage öb s amerika würklech git wüu mit dr ziit si geng meh lüt derthäregange u wieder zrüggcho u hei verzeut u no bis hüt verzeue immer aui ds gliiche u niemer weiss eigentlech meh aus das won r vorhär scho het gwüsst u aui hei geng ds gliiche gseh u das tönt doch irgendwie verdächtig u schmöckt irgendwie nach drääibuech u nach hollywood
glogge,Baseldytsch Züritüütsch Bärndütsch,si isch en zäntraalbou mit chrüüzförmigem grundriss und ere kupplen über de vierig und de turn wo föif glogge dine hanged gseet uus wie n en italienische campanile 
gloo,Baseldytsch Ostschwizertütsch,s verb choo bildet s partizip immer oni de vorsilbe g loo und afange afoo chönet degege d partizipie oni oder mit dere vorsilbe bilde er het s elai loo gloo si het afange agfange lache 
glost,Bärndütsch,dr kolumbus isch ga fahre het sech s nid lang überleit het scho vor vierhundert jahre nid druf glost was d lüt hei gseit dr kolumbus möchti sy aber leider gsehnig y me isch für die grosse tate eifach immer echli z gschyd lang tuesch hin und här berate und drum machsch se zletscht halt nid geng we me sech s richtig überleit merkt me dass s nid geit dr napoleon isch zoge bis nach russland mit sim heer hätt er d sach genau erwoge wär er z korsika i d lehr dr napoleon möchti sy aber leider gsehn ig y me isch für die grosse tate eifach immer echli z gschyd lang tuesch hin und här berate und drum machsch se zletscht halt nid geng we me sech s richtig überleit merkt me dass s nid geit i zum bischpil hätt es liedli chönne schreiben über das won ig itz grad öich ha prichtet grad e sones lied wie das doch won i mers rächt ha überleit hani gseh dass s gar nid geit
gloub,Bärndütsch,dr güggel het zur henne xeit mir gfallt dys geile fäderchleid i würd s gärn cho ustschugge u dr muni seit zur schöne chue dr gedanke laht mi nid in rueh mir zwöi eleini bim waldrand egge dr schafbock fragt es schaf ganz fiin liit ächt es schäferstündli drin mir gfallt dys wullige ränzli u d wildsou het zom eber xeit i gloub bir nächschte glägeheit schnappe ni dys ringelschwänzli baby blyb uf trab hüt geit s tierisch ab we mer üs vernasche de wärde beidi froh hüt wäri s günschtig hüt wär i brünschtig was anderi chöi daschöi mir o d änte seitzum änterich säg mir du wöllisch äntelich mit mir id s schilf ga schwümme u dr bäri usem äppezäll seit zur pudel dame gäll mit üs zwöi chönnti s schtimme dr papagei seit zur mama geil wär s mit dir im chäfig elei ga schnäbele imne ärdnüssli fueder dr goldfisch maa im goldfischteich seit baby es isch zyt für e laich du bisch ja so n es goldix lueder baby mach nid schlapp hüt geit s tierisch ab we mirus vernasche de wärde beidi froh hüt wäri s günschtig hüt wär i brünschtig was anderi chöi das chöi mer o
gloube,Bärndütsch,die fluech cha nome broche wärde wenn alli medaillons wo ide true gseh se weder zroggleit wärde zuesätzlech möi die wo es gouldstöck gstohle hei e bluetpris zahle vo de pirate vo de black pearl esch die bluetpris scho zaut worde met usnahm vom vater vom will turner em wiliam turner sr wöu dä aber nömme erreichbar esch bruche si s bluet vomene nochfahr vo ehm wöu d elisabeth sech as elisabeth turner usgä het ond si s medaillon bi sech treit gloube d pirate dass si i ehre de nochfahr vom william turner sr gfonde hei de jack weiss dass de will de sohn vom william turner esch setzt alles dra sini black pearl weder iizhole 
gloubt,Bärndütsch,damet er de jack cha töte rüeft de davy jones im riesekrake dä söu d black pearl is meer zieh de kampf gäge krake schint ussechtslos z si drom beschliesst d crew im biiboot z flöchte um e chance zha für die flocht kösst d elizabeht de jack ond chettet ne onderdesse as scheff si gloubt är esch schoud a dere ganze lag de jack wird zäme mit de black pearl vom riesekrake verschlonge i de crew allerdings glingt d flocht 
glp,Züritüütsch Bärndütsch,glp gp sp svp suschtigi 
glueget,Ostschwizertütsch Züritüütsch,vom schorta hämers grad ghaa und er hät au müe ghaa mit em schaffe vom indog rmanischt julius pokorny und de romanischte wilhelm meyer lübke ernst gamillscheg und jakob jud wil em die z junggramatisch und z razionalischtisch tänkt händ s junggramatisch forschen isch e richtig gsy wo starch uf luutgsetz glueget hät 
gluegt,Baseldytsch Bärndütsch,d baasler hai sterker in d richdig vom riich gluegt as die andere aidgenössische ständ 
gluet,Bärndütsch,i han es zündhölzli azündt und das het e flamme gäh und i ha für d zigarette welle füür vom hölzli näh aber ds hölzli isch dervo gspickt und uf e teppich cho und es hätt no fasch es loch i teppich gäh dervo ja me weis was cha passiere we me nid ufpasst mit füür und für d gluet ar zigarette isch e teppich doch de z tüür und vom teppich hätt o grus chönne ds füür is ganze hus und wär weis was da nid alles no wär worde drus s hätt e brand gäh im quartier und s hätti d füürwehr müesse cho hättid ghornet i de strasse und dr schluuch vom wage gno und sie hätte wasser gsprützt und das hätt de glych nüt gnützt und die ganzi stadt hätt brönnt es hätt se nüt meh gschützt und d lüt wären umegsprunge i dr angscht um hab und guet hätte gmeint s heig eine füür gleit hätte ds sturmgwehr gno ir wuet alls hätt brüelet wär isch tschuld ds ganze land i eim tumult dass me gschosse hätt uf d bundesrät am rednerpult d uno hätt interveniert und d uno gägner sofort o für ir schwyz dr fride z rette wäred beid mit panzer cho s hätt sech usdehnt nadisna uf europa afrika s hätt e wältchrieg gäh und d mönschheit wär jitz nümme da i han es zündhölzli azündt und das het e flamme gäh und i ha für d zigarette welle füür vom hölzli näh aber ds hölzli isch dervo gspickt und uf de teppich cho gottseidank dass i s vom teppich wider furt ha gno
glunge,Baseldytsch Züritüütsch Bärndütsch,es isch em ador debii glunge di besonderi schtellig vom ikrk und dem siin füehrigsaaschpruch innerhalb vo dr bewegig durezsetze und z feschtige 
gly,Züritüütsch Bärndütsch,gly nach de pänsionierig isch de bächtold läiter vo de biraatigs und uuskumpftsstell vom bund schwyzertütsch woorde 
glych,Baseldytsch Züritüütsch Bärndütsch,syni dissertazioon wo näbedby gsäit de glych gägestand zum theema ghaa hät wie die vom schoch und e chlyni wyteri tialäktoloogischi schrift von em händ en beschtens rekumidiert 
glyche,Baseldytsch Züritüütsch Bärndütsch,im glyche jaar isch de vierezwänzgj rig im dörflitheater vo der uustelig s eerschtmaal sälber uufträtte 
glychen,Züritüütsch Bärndütsch,der oskar bandle schwyzertüütsch äigetli bantli uusgsproche jäner z frauefäld jäner am glychen oort isch en schwyzer spraach und literatuurwüsseschafter gsy wo hauptsächli as profässer für nordischtik skandinawischtik a den uniw rsit te züri und basel gleert hät 
glyyche,Baseldytsch Züritüütsch,d naachberwöörterbücher vom glyyche tipus sind im norde s nidersächsisch wöörterbuech im oschte s weschtfäälisch wöörterbuech s hesse nassauisch wöörterbuech und s süüdhessisch wöörterbuech im süüde s pfälzisch wöörterbuech und s wöörterbuech von tüütsch lootringische mundaarte und im weschten s luxeburgisch wöörterbuech 
gläbt,Baseldytsch Züritüütsch Bärndütsch,dä häd im elsass gläbt und z mänidorf es paar hüüser gha 
gläge,Baseldytsch Züritüütsch Bärndütsch,s sträng filoloogisch vo de wöörterbuechaarbet seg zwar nöd grad i synere natuur gläge aber d wichtigkäit vom idiotikon seg em alewyl klaarer woorde und mit synere z chen energy und pflichttröii heg er sich guet ygschaffet 
glägen,Baseldytsch Züritüütsch,s venedigli isch e chlyni willa mit stägegibel us em oder jaarhundert gsy wos rund drumumen en wassergrabe ghaa hät s lingg seeuufer isch doozmaal na vil wyter weschtlich glägen as hüt 
gläis,Baseldytsch Züritüütsch,scho sit dänn wo d nordoschtbaan im jaarhundert d linie vo de isebaan hät afa poue isch s z züri wäge der b rgtopografy gaar nöd ooni tunäll ggange und spööter sind na vil underirdischi gläis dezuechoo 
gläit,Baseldytsch Züritüütsch Bärndütsch,er isch nöd en analitiker gsy wo d täggscht usenandgnaa hät sunder hät de schw rphunkt uf d rezepzioonsgschicht aso wie isch di skandinaavisch literatuur im ussland bsunders i de schwyz aachoo und uf d kultuurgschicht literatuur as spiegel vo de kultuur vo d re zyt wo si gschribe woorden isch gläit 
gläitet,Baseldytsch Züritüütsch,er hät au vil jaar d gruppe züri vo d m veräin gläitet und im bundesvoorstand hät er nach ere churze zyt as obme dänn s amt as sekrit r übernaa 
gländ,Baseldytsch Züritüütsch, hät d brouerei hüürlimaa uf irem gländ wasser gsuecht wo si hett chöne zum broue bruuche 
gländer,Baseldytsch Züritüütsch Bärndütsch, e breiti stäge mit eme gländer i de mitti isch in erschte stock ufe von e groosses hells foyer gsi isch 
glängt,Baseldytsch Ostschwizertütsch Bärndütsch,als öb da nöd scho glängt het nai sie hend au d dächer abdeckt und grundmuure zerstört 
gläse,Baseldytsch Züritüütsch Bärndütsch,er hät deet korektuur gläse hät und d woorterchl rigen in eerschte zwee bänd sind vo im 
glääge,Baseldytsch,arlese hingege isch nit nume im bistum glääge sondern au in dr nööchi vom elsass vo wo s kapitel die mäiste iikümfte bezooge het 
gläägen,Baseldytsch,d basler bürgerschaft het immer mee d verwaltig vo dr stadt übernoo wo früener in de händ vom bischof gläägen isch und eso si noo di noo d zümft für d verdäidigung vo dr stadt verantwortlig worde bis in s joorhundert si si vor allem mit hiib und stichwaffe pfiilbööge und armbrüst bewaffnet gsi wo denn aber kanoone und churz druf büggse iigfüert worde si het mä d bürger müesse leere wie die richdig brucht wärde dorum het dr root e schützenornig erloo wo die eltisti bekannti im joor uusechoo isch din isch beschriibe wie mä die füürwaffe söll aaschaffe und zun e luege und wie mä d schütze söll usbilde d zümft häi denn d eeregsellschaft vo de büggseschütze gründet und äinänachzig maa us alle zümft si mitgliid worde dr gweelti oberstschützemäister het müesse e zumftmäister oder e rootsheer si und dr bürgermäister het d stadt bi dr waal verdräte 
glöscht,Baseldytsch Züritüütsch,bis isch d hafe won im jaarhundert poue woorden isch und wo sit doo en groosse stäinige löi ufeme sockel uf en uufpasset e richtigi schiffländi gsy byspiilswys sind deet schiff glöscht woorde 
glöst,Baseldytsch Züritüütsch Bärndütsch,das für d seenavigation bedüütsami längeproblem isch erscht endi vom jahrhundert glöst worde 
glööst,Baseldytsch Züritüütsch,umgcheert hät sich d chilegmäind vom stedtische st peeter glööst und isch doo sälbständig woorde isch aber au d chilegmäind ängi wider in ere fascht gsamtstedtische chilegmäind uufggange 
glückli,Züritüütsch,so rächt glückli isch der abegg bim wöörterbuech nöd woorde 
glünggi,Bärndütsch, oder schimpfwörter sy glückssach e leu e blöde siech e glünggi un e sürmel hei einisch zämme krach gha es risegrosses gstrürmel dr glünggi het zum leu gseit är syg e blöde siech und dä isch sofort zum sürmel was ja o nid jede miech und er het ihm das verzellt und gseit dr glünggi syg e sürmel und dr sürmu het s em glünggi gseit u dä macht druus es gstürm uf verzellt s em blöde siech u wo dä drvo het ghört het er gseit zum leu är syg e leu und das het dise gstört und er haut em blöde siech eis um d ohre dass es blüetet u dr glünggi lauft drzue u gryft jitz ou no y u wüetet u dr sürmel u dr glünggi u dr leu u dr blöd siech hen die ganzi nacht lang gschleglet bis am andere morge früech
gmachet,Züritüütsch,d gruppe züri vom bund schwyzertütsch hät de bächtold zu irem eeremitgliid gmachet 
gmacht,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,sini usbildig häd er ab a de akademie für schöni künscht z kinshasa und z rom gmacht 
gmaind,Baseldytsch Ostschwizertütsch Züritüütsch,er ghört zur gmaind humbrächtike im kanton züri 
gmeind,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,wäg de schöne laag am zürisee und em günschtige stüürfuess vo de gmeind freiebach isch bäch en beliebte wohnort 
gmeinde,Baseldytsch Züritüütsch,zum bezirk ghöred politischi gmeinde 
gmeint,Baseldytsch Züritüütsch Bärndütsch,viili händ gmeint i dene wort e übernaahm vo gedankeguet vo de nationalsozialischte zu ghöre 
gmerkt,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,de staub hät as verglyychende dialäktoloog schnäll gmerkt das i vilnen alemanische tialäkt de nasaal vor eme homorgaane spirant verschwindt und daadefüür de vokaal teent oder sogar tiftongiert wird 
gmietet,Baseldytsch Züritüütsch Bärndütsch,de birüemtischt isch de dichter und sachse weimarisch hoofraat christoph martin wieland gsy r hät im summer s lächehuus gmietet wo hüt nüme staat und isch i d re zyt überglückli gsy 
gmoolt,Baseldytsch,as verzierige het s numen e baar bilder gha wo dr meister lawelin gmoolt het 
gmäind,Baseldytsch Züritüütsch,aber hät d gmäind s huus gkauft und als gmäindshuus pruucht 
gmäinde,Baseldytsch Züritüütsch,e bhöördeninitiative chan e gwüssi aazaal gmäinde oder aber e minderhäit im kantonsrat yräiche 
gmäint,Baseldytsch Züritüütsch,woo d gnau gsy isch wäiss me nööd aber luut em guntram saladin isch s tääli zwüschet de beede mor ne gmäint gsy aso s gibiet vo de hüttige waffeplatzstraass 
gmäld,Baseldytsch,eso isch s sogenannte amerbach kabinett entstande mit ere sammlig vo gmäld wo spööter uf dr ganze wält berüemt worde si und öbbe nüünduusig büecher 
gmäss,Züritüütsch Bärndütsch,gmäss de tradition werded die positione de reihe naa allne mitgliider vom bundesrat überträit 
gmües,Baseldytsch Züritüütsch Bärndütsch,deet gits frücht und gmües olive brot fisch und fläisch pflanze und blueme honig italienischi spezilitäte und pilz 
gmündet,Baseldytsch Bärndütsch,ursprünglig isch dr doorebach nordwärts dur allschwil gflosse wo dr allschwilerbach in en iinegflosse isch und isch denn diräkt in rhii gmündet het mä ärde ufgschüttet und d schützematte iigrichdet und dr fluss isch underhalb vo binnige in birsig umgläitet worde si iizugsgebiet isch hüte öbbe kwadratkilometer grooss 
gnaa,Züritüütsch,en bärgfründ vom balmer de hans prato hät em emaal verzelt das me deet z itaalie wo syn vatter de josef prato h rchäm nämli z alagna au tüütsch redi und esoo hät syni liebe zu de süüdwalser iren aafang gnaa 
gnau,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,deet wird di i dr realität unmöglichi situation aagnaah dass d erde und d sunne a einere schtell sind und s objekt dr komet oder asteroid gnau ei astronomischi einheit entfernt schtaht 
gnaue,Baseldytsch Züritüütsch,bi dr gnaue ortsbeschtimmig muess beachtet werde dass geographischi koordinate underschiedlichi bezugsyschtem haa chönnd 
gnauer,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,iso gnauer iso iec au bekannt als arabisch isch en vo dr iso zletscht aktualisierte schtandard für d informationstechnik zur zeichekodierig mit acht bit und dr sechsti teil vo dr normefamilie iso iec 
gnaui,Baseldytsch Ostschwizertütsch Züritüütsch,die gnaui definition vo der aschtronomie luutet winkel zwüsched der meridianebeni und em schnittpunkt vom vertikalchreis vomene gschtirn mit em horizont 
gnennt,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,als schriftschteller werded persone gnennt wo im verfasse vo eigene literarische texte ihre bruefliche schwerpunkt setzed 
gniess,Bärndütsch,äs ührli tigget lissli vor sich hi tue langsam d ouge uf u merke das i gar nid alleini bi u das was i gseh nimmt mir fasch dr schnuf äs gsichtwi ne ängu ligt da näbe mir nid das äs z erscht mau wär hesch ja gseit heihsch mi gärn u i zwifle ja o nid a dir nume dra z gloube faut mir geng no schwär ligsch da u weisch nid wi gärn das i di ha u we üsi liebi o nid für immer isch i luege dr zue we du am schlafe bisch strichele dis haar u hoffe äs isch kei troum hoffe nes isch wahr wett nie me erwachse faus i am tröime bi guet das d nid weisch was i aus miech für di i gieng fürr di dür z füür gieng dür d höll für di nüt isch mir für di z tüür i wirde geng da si für di aber wüsse muesch äs nid schöner chönnti erwache gar nid si aus z erwache näbe dir u i wünschti dä momänt göng nie verbi uh das wünscht i mir ha jitz scho chli angscht dass d wider mau chömtsch gah drum gniess is um so meh dass i di darf i mine arme ha u wis witer geit wärde mir gseh ligsch da u weisch nid wi gärn das i di ha u we üsi liebi o nid für immer isch i luege dr zue we du am schlafe bisch strichele dis haar u hoffe äs isch kei troum hoffe nes isch wahr wett nie me erwachse faus i am tröime bi guet das d nid weisch was i aus miech für di i gieng fürr di dür z füür gieng dür d höll für di nüt isch mir für di z tüür i wirde geng da si für di aber wüsse muesch äs nid u we üsi liebi 
gniesse,Baseldytsch Bärndütsch,d münch wie anderi ridder au häi e freis ridderlääbe welle gniesse und so häi si um s dorf geckige wo zum domkapitel basel ghöört het kauft und über em het dr hugo iii münch d burg münchestäi baut und rings um d burg und s dorf e muure vo denn aa hai si sich ridder münch vo münchestäi gnennt 
gno,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,um hät au d arbeiterbewegung ihre afang gno 
gnoh,Baseldytsch Bärndütsch,drnäbe het er musigunderricht bim organist johannes kotter gnoh 
gnoo,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,dä graf vo dä chüeburg hät s zwar in schutz gnoo aber am schluss hät er s müese userucke wil t winterthurer so wüetig gsii sind 
gnosse,Baseldytsch Ostschwizertütsch Bärndütsch,de franz het e gueti uusbildig gnosse und recht uusschwaifend glebt 
gnue,Baseldytsch Bärndütsch,do drbi bruchtme die gsteckti variante d h mä nimmts seil bim chnüpple nid äfach dopplet sondern mä macht zerscht ä eifache achter lot gnue seil am ändi übrig so dasmes durs gstältli cha fädle und den wider ruckwärts dure ganze achter cha füere 
gnueg,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,das buech hett äigetli selen uf tüütsch usechoo aber de gruyter verlaag hät das nöd gnueg mod rn gfunde 
gnutzt,Baseldytsch Züritüütsch Bärndütsch,je nach schtaat chann der aaschpruch nach mehrere jahre verfalle und muess nöd zwingend gnutzt werde 
gnännt,Züritüütsch,dr stüssi hät em friedrich di erworbeni grafschaft kyburg mit uusnaahm vo de gebiet weschtlich vo dr glatt wo vo dänn aa neuamt gnännt worde isch und hät em habsburger freii hand gwährt de aargau zrugg zerobere gege s verschpreche s toggeburg und d grafschaft uznach z chaufe und züri z übergeeh 
gnützt,Baseldytsch Bärndütsch,d geböid bad buebedorf wird hüte immer no as restorant landgasthof und hotel gnützt 
goh,Baseldytsch Züritüütsch Bärndütsch,au de joseph us galiläa nämli us de schtadt nazareth hot sich uf de weg gmacht zum noch bethlehem z goh des isch d schtadt davids gsi und us dem gschlecht hot de joseph gschtammt 
goht,Baseldytsch Ostschwizertütsch Bärndütsch,de bragi wird s erste mol im johrhundert usdrücklich als gott gnannt darum goht mer devo us dass mer i ihm e spoti vergöttlichig vom skald bragi boddason de alti gseh chan wo im johrhundert glebt het 
goldigi,Baseldytsch Züritüütsch,die roti usfüehrig vom hintergrund und die goldigi farb vo de schnalle sind zunere ziit vo de landvogtei im und jahrhundert ufcho 
goldigs,Baseldytsch Ostschwizertütsch Bärndütsch,und denn schribt de goldast witer as no zu sinere zit uf de insle raichenau e goldigs götteridol vom hercules alemannus gstande sai 
golte,Baseldytsch Bärndütsch,är het sini profikarriere bi river plate buenos aires im joor agfange mä het em e steili karriere vorusgseit aber är isch durch divärsi verletzige immer widr zrugggworfe worde trotzdäm het är witterhin als talänt golte und het mit river plate dreymol die argentinisch meischterschaft gwunne im summer het är zum baskische club deportivo alav s gwäggslet wo är in dr saison meisterschaftsspiil beschtritte het 
goo,Baseldytsch Ostschwizertütsch,die muster chönet sowit goo as si bestimmti bedütigsgruppe bildet z b fu lun för vögel uq bun adler ur bun rapp summ natun wachtle fu lun för pflanze tuff un öpfel rumm nun granatöpfel oder fu al u för personeguppe ulam u die glehrte wuzar u d wezire d minister fuqar u die arme 
goof,Bärndütsch,lue mal die trummle isch s nid e pracht d gitarre isch gschtomme das heimer suuber gmacht und die handorgle sie tönt wie nöi s wird secher morge nach de zwöi es schynt d belüüchtig die funktioniert es isch alles rechtig enstalliert und wenn d luutsprächer verkablet sy was lyt da nöcher mer schalte y für sone chilbi bi ni immer z ha sone hilbe abe hei mer lang nömme gha für sone party lani alls la schta aber me muess warte bis mer chöi afa zersch müesse d stüehl ewäg mir bruuche platz für d bei d stüehl ewäg wäg de büüle ade chnöi d stüehl ewäg das mer umegumpe chöi tüet d stüehl ewäg ja sone musig die tuet eim guet die geit potztuusig sofort i ds bluet vo jedem grosi u vo jedem goof alli chöi froh sy hinech git s schwoof für sone chilbi bi ni immer z ha sone hilbe abe hei mer lang nömme gha für sone party lani alls la schta aber me muess warte bis mer chöi afa zersch müesse d stüehl ewäg mir bruuche platz für d bei d stüehl ewäg wäg de büüle ade chnöi d stüehl ewäg das mer umegumpe chöi tüet d stüehl ewäg ohh tüet d stüehl ewäg mer bruuche platz für d bei d stüehl ewäg wäg de büüle ade chnöi d stüehl ewäg das mer umegumpe chöi tüet d stüehl ewäg 
gool,Baseldytsch Bärndütsch,dr ceccaroni gältet in siner heimetstadt basel as kultfigur einersiits wil er johr lang bi sim stammverein bliiben isch andrersits weil er währed siiner ganze profikarriere in dr oberste liga nie e gool gmacht het au denn nid won er in eme meisterschaftsspiil gege d grasshoppers züri e penalty verschosse und bim nochschuss druff d underlatte statt s leere gool droffe het 
goot,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch, isch si i de fiirliche iisprozession vom tütsche hagnau is schwizerischi münsterlinge trait wore bi de nöchste gfrörne goot s bild wider zrugg uf hagnau 
